id,direction,category,source,q5_k_m_output,q8_0_output,q5_format_ok,q8_format_ok,q5_gen_tok_s,q8_gen_tok_s,q5_tokens,q8_tokens,identical_outputs,reference
en-ru-01,EN->RU,colloquial,"Hey, are we still on for lunch tomorrow, or should we push it to next week?","Эй, мы все еще обедаем завтра, или нам лучше перенести это на следующую неделю?","Эй, мы все еще обедаем завтра, или нам лучше перенести это на следующую неделю?",True,True,7.927,5.418,25,25,True,
en-ru-02,EN->RU,colloquial,"Honestly, I didn't expect the movie to be that good, but the ending got me.","Совсем честно, я не ожидала, что фильм будет так хорош, но конец меня зацепил.","Совсем честно, я не ожидала, что фильм будет так хорош, но конец меня зацепил.",True,True,7.809,5.226,28,28,True,
en-ru-03,EN->RU,technical,The service exposes a REST endpoint that returns a paginated list of invoices in JSON format.,"Сервис экспонирует конечную точку REST, которая возвращает paginated список счетов в формате JSON.","Сервис экспонирует REST-эндпоинт, который возвращает пагинированый список счетов в формате JSON.",False,True,7.923,5.401,27,31,False,
en-ru-04,EN->RU,technical,"If the GPU driver reports a compute capability of 12.0, the CUDA 12.8 toolkit is required to build the kernels.","Если драйвер GPU отчетливо указывает на вычислительную способность 12.0, для компиляции ядер требуется CUDA-инструментарий версии 12.8.","Если драйвер GPU отчетливо указывает на вычислительную способность 12.0, для компиляции ядер требуется набор инструментов CUDA 12.8.",True,True,8.05,5.449,51,48,False,
en-ru-05,EN->RU,technical,"Restart the container after updating the environment variables, otherwise the new token will not be picked up.","Перезапустите контейнер после обновления переменных окружения, иначе новый токен не будет обнаружен.","Перезапустите контейнер после обновления переменных окружения, иначе новый токен не будет обнаружен.",True,True,8.001,5.385,32,32,True,
en-ru-06,EN->RU,numbers,"The invoice for $12,450.75 is due on March 3, 2026, and a 1.5% late fee applies after 30 days.","Фактура на сумму $12,450.75 подлежит оплате 3 марта 2026 года, и применяется штраф в размере 1,5% после 30 дней просрочки.","Фактура на сумму $12,450.75 подлежит оплате 3 марта 2026 года, и применяется штраф в размере 1,5% после 30 дней просрочки.",True,True,8.039,5.566,55,55,True,
en-ru-07,EN->RU,numbers,"Our flight departs at 6:45 a.m. on the 21st and lands at 14:10 local time, roughly 3,200 kilometers away.","Наш рейс вылетает в 6:45 утра 21-го и приземляется в 14:10 местного времени, примерно в 3200 километрах оттуда.","Наш рейс вылетает в 6:45 утра 21-го и приземляется в 14:10 местного времени, примерно в 3200 километрах оттуда.",True,True,8.068,5.49,55,55,True,
en-ru-08,EN->RU,numbers,"In Q4 the churn rate fell from 4.8% to 3.1%, while average revenue per user rose by 12%.","В четвертом квартале коэффициент оттока снизился с 4,8% до 3,1%, при этом средняя выручка с пользователя выросла на 12%.","В четвертом квартале коэффициент оттока снизился с 4,8% до 3,1%, в то время как средняя выручка с пользователя выросла на 12%.",True,True,8.062,5.455,50,52,False,
en-ru-09,EN->RU,long,"Although the committee had initially agreed to postpone the decision until the audit was complete, the sudden resignation of the chairman, combined with mounting pressure from investors who had already lost patience, forced the board to convene an emergency session on the very same evening.","Хотя комитет сначала согласился отложить решение до окончания аудита, внезапное辞去主席职务，以及来自已经失去耐心的投资方不断增加的压力相结合，迫使董事会在同一天晚上召开紧急会议。","Хотя комитет сначала согласился отложить решение до окончания аудита, внезапное辞去主席职务，以及来自已经失去耐心的投资方不断增加的压力，迫使董事会在同一天晚上召开紧急会议。",False,False,8.096,5.439,52,51,False,
en-ru-10,EN->RU,ambiguous,I saw her duck.,"Я увидел, как она наклонила голову.","Я увидел, как она наклонила голову.",True,True,7.931,5.3,14,14,True,
en-ru-11,EN->RU,ambiguous,The chicken is ready to eat.,Курица готова к еде.,Курица готова к еде.,True,True,7.66,5.083,10,10,True,
en-ru-12,EN->RU,ambiguous,"They left the keys in the car, so we couldn't get in.","Они оставили ключи в машине, так что мы не могли войти.","Они оставили ключи в машине, так что мы не могли войти.",True,True,8.108,5.305,20,20,True,
ru-en-01,RU->EN,colloquial,"Слушай, ты вообще собираешься сегодня доделать отчёт или опять отложишь?","Listen, are you going to finish the report today or are you going to postpone it again?","Listen, are you going to finish the report today or are you going to postpone it again?",True,True,8.085,5.34,19,19,True,
ru-en-02,RU->EN,colloquial,"Ну и погодка, я уже третий раз за день промок.","Well, the weather is terrible, I'm already soaked for the third time today.","Well, the weather is awful, I'm already wet for the third time today.",True,True,8.046,5.211,17,17,False,
ru-en-03,RU->EN,technical,"Сервис принимает видео, извлекает аудиодорожку и запускает распознавание речи на GPU.","The service accepts videos, extracts the audio track, and launches speech recognition on GPU.","The service accepts video, extracts the audio track, and launches speech recognition on GPU.",True,True,7.995,5.265,17,17,False,
ru-en-04,RU->EN,technical,"Если контейнер перезапустить без сохранения тома, все скачанные веса моделей будут потеряны.","If the container is restarted without preserving the volume, all downloaded model weights will be lost.","If the container is restarted without preserving the volume, all downloaded model weights will be lost.",True,True,8.055,5.277,18,18,True,
ru-en-05,RU->EN,technical,"Квантованная модель занимает меньше памяти, но может немного терять в точности перевода.",The quantum model takes up less memory but may slightly lose in translation accuracy.,The quantum model takes up less memory but may slightly lose in translation accuracy.,True,True,7.184,5.201,15,15,True,
